City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,berezovyy,51.6667,135.7,7.6,46,30,1.45,RU,1698212894
337,clarkston heights-vineland,46.3874,-117.083,7.47,86,100,3.09,US,1698212894
338,mpika,-11.8343,31.4529,26.22,37,41,2.96,ZM,1698212894
339,ladispoli,41.9537,12.0735,20.96,67,83,6.98,IT,1698212894
340,erenhot,43.6475,111.9767,13.91,35,4,3.67,CN,1698212894
341,jahanian shah,31.8055,72.2771,30.21,22,0,0.96,PK,1698212643
342,san juan,-31.5375,-68.5364,16.47,65,21,5.57,AR,1698212713
343,jacobina,-11.1806,-40.5183,20.29,89,41,1.19,BR,1698212895
344,mormugao,15.4,73.8,32.59,38,20,2.57,IN,1698212895
345,amos,48.5669,-78.1162,8.76,99,100,0.32,CA,1698212895
346,ca mau,9.1769,105.15,30.99,67,99,2.7,VN,1698212895
347,razole,16.4833,81.8333,33.12,47,17,0.69,IN,1698212895
348,bokhan,53.153,103.7714,4.3,35,54,4.99,RU,1698212895
349,savanna-la-mar,18.219,-78.1332,27.97,88,76,2.62,JM,1698212896
350,la gi,10.6667,107.7833,29.23,72,79,2.84,VN,1698212896
351,manay,7.215,126.5397,29.63,72,91,1.47,PH,1698212896
352,lenino,45.2986,35.7771,14.65,62,100,3.93,UA,1698212896
353,shingu,33.7333,135.9833,19.3,77,1,0.36,JP,1698212896
354,bowen,-20.0167,148.2333,25.13,65,0,5.63,AU,1698212645
355,mili,6.0815,171.735,29.2,71,27,4.57,MH,1698212896
356,macau,22.2006,113.5461,33.25,74,20,3.6,MO,1698212896
357,north battleford,52.7834,-108.2847,-9.95,67,0,4.12,CA,1698212645
358,gornesti,46.6713,24.6476,12.66,70,100,2.0,RO,1698212646
359,flin flon,54.7682,-101.865,-4.9,62,49,2.92,CA,1698212897
360,bac lieu,9.285,105.7244,30.72,64,91,2.92,VN,1698212646
361,bagua grande,-5.7561,-78.4411,24.1,79,46,1.28,PE,1698212897
